time,open,high,low,close,Volume,Volume MA,Developing Poc,Developing VA High,Developing VA Low,Futures Open Interest,Crypto Open Interest (Ouverture),Crypto Open Interest (Haut,Crypto Open Interest (Bas),Crypto Open Interest (Fermeture)
1625860800,33420.44,34100,33358,33805.01,61436.573,87019.20370000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625875200,33805.01,34248.58,33621.51,33777.86,74511.781,85901.60895000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625889600,33777.87,33888,33423.96,33747.98,62625.037,86466.81350000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625904000,33747.98,33969.03,33550,33781.67,61294.583,86145.18355000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625918400,33781.67,33940.51,33621.45,33840.28,52674.236,84448.98815000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625932800,33840.27,34190,33200,33403.08,103297.148,85189.48900000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625947200,33403.08,33695,33010,33497.98,55869.194,83630.33855000007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625961600,33497.98,33812.53,33381.51,33446.92,47094.964,83556.21020000007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625976000,33446.92,33630,33306.03,33501.53,46227.195,81978.73405000007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625990400,33501.53,33850,33416.48,33792.04,60271.235,79121.08675000007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626004800,33792.04,33985,33645.94,33926.19,60949.965,74567.71300000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626019200,33926.19,34105,33754.77,33883.11,46772.09,70476.78175000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626033600,33883.11,34629.62,33690.55,34253.81,82589.901,68736.63890000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626048000,34253.88,34540.34,34024.26,34429.44,57100.253,67591.87440000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
